CustomerId,CustomerName,Country,City,TotalSpend,PurchaseCount,FirstPurchaseDate,LastPurchaseDate,ValueTier,PrimaryGenre
1,Luís Gonçalves,Brazil,São José dos Campos,39.62,7,2022-03-11 00:00:00,2025-08-07 00:00:00,Silver,Rock
2,Leonie Köhler,Germany,Stuttgart,37.620000000000005,7,2021-01-01 00:00:00,2024-07-13 00:00:00,Bronze,Rock
3,François Tremblay,Canada,Montréal,39.62,7,2022-03-11 00:00:00,2025-09-20 00:00:00,Silver,Metal
4,Bjørn Hansen,Norway,Oslo,39.62,7,2021-01-02 00:00:00,2025-10-03 00:00:00,Silver,Rock
5,František Wichterlová,Czech Republic,Prague,40.620000000000005,7,2021-12-08 00:00:00,2025-05-06 00:00:00,Silver,Rock
6,Helena Holý,Czech Republic,Prague,49.620000000000005,7,2021-07-11 00:00:00,2025-11-13 00:00:00,Silver,Rock
7,Astrid Gruber,Austria,Vienne,42.62,7,2021-12-08 00:00:00,2025-06-19 00:00:00,Silver,Rock
8,Daan Peeters,Belgium,Brussels,37.62,7,2021-01-03 00:00:00,2025-10-04 00:00:00,Bronze,Rock
9,Kara Nielsen,Denmark,Copenhagen,37.620000000000005,7,2021-09-06 00:00:00,2025-02-02 00:00:00,Bronze,Rock
10,Eduardo Martins,Brazil,São Paulo,37.620000000000005,7,2021-04-09 00:00:00,2025-08-12 00:00:00,Bronze,Rock
11,Alexandre Rocha,Brazil,São Paulo,37.620000000000005,7,2021-09-06 00:00:00,2025-03-18 00:00:00,Bronze,Latin
12,Roberto Almeida,Brazil,Rio de Janeiro,37.62,7,2021-05-23 00:00:00,2025-10-05 00:00:00,Bronze,Rock
13,Fernanda Ramos,Brazil,Brasília,37.620000000000005,7,2021-06-05 00:00:00,2024-11-01 00:00:00,Bronze,Rock
14,Mark Philips,Canada,Edmonton,37.620000000000005,7,2021-01-06 00:00:00,2025-05-11 00:00:00,Bronze,Rock
15,Jennifer Peterson,Canada,Vancouver,38.620000000000005,7,2021-06-05 00:00:00,2024-12-15 00:00:00,Bronze,Rock
16,Frank Harris,USA,Mountain View,37.62,7,2021-02-19 00:00:00,2025-07-04 00:00:00,Bronze,Metal
17,Jack Smith,USA,Redmond,39.620000000000005,7,2021-03-04 00:00:00,2024-07-31 00:00:00,Silver,Rock
18,Michelle Brooks,USA,New York,37.620000000000005,7,2022-05-12 00:00:00,2025-10-08 00:00:00,Bronze,Rock
19,Tim Goyer,USA,Cupertino,38.620000000000005,7,2021-03-04 00:00:00,2024-09-13 00:00:00,Bronze,Rock
20,Dan Miller,USA,Mountain View,39.62,7,2022-05-12 00:00:00,2025-11-21 00:00:00,Silver,Latin
21,Kathy Chase,USA,Reno,37.62,7,2021-03-05 00:00:00,2025-12-04 00:00:00,Bronze,Rock
22,Heather Leacock,USA,Orlando,39.62,7,2022-02-08 00:00:00,2025-07-07 00:00:00,Silver,Metal
23,John Gordon,USA,Boston,37.62,7,2021-01-11 00:00:00,2025-12-04 00:00:00,Bronze,Latin
24,Frank Ralston,USA,Chicago,43.62,7,2022-02-08 00:00:00,2025-08-20 00:00:00,Silver,Rock
25,Victor Stevens,USA,Madison,42.62,7,2021-03-06 00:00:00,2025-12-05 00:00:00,Silver,Rock
26,Richard Cunningham,USA,Fort Worth,47.620000000000005,7,2021-11-07 00:00:00,2025-04-05 00:00:00,Silver,Rock
27,Patrick Gray,USA,Tucson,37.620000000000005,7,2021-06-10 00:00:00,2025-10-13 00:00:00,Bronze,Rock
28,Julia Barnett,USA,Salt Lake City,43.620000000000005,7,2021-11-07 00:00:00,2025-05-19 00:00:00,Silver,Rock
29,Robert Brown,Canada,Toronto,37.62,7,2021-07-24 00:00:00,2025-12-06 00:00:00,Bronze,Rock
30,Edward Francis,Canada,Ottawa,37.620000000000005,7,2021-08-06 00:00:00,2025-01-02 00:00:00,Bronze,Rock
31,Martha Silk,Canada,Halifax,37.620000000000005,7,2021-03-09 00:00:00,2025-07-12 00:00:00,Bronze,Latin
32,Aaron Mitchell,Canada,Winnipeg,37.620000000000005,7,2021-08-06 00:00:00,2025-02-15 00:00:00,Bronze,Latin
33,Ellie Sullivan,Canada,Yellowknife,37.62,7,2021-04-22 00:00:00,2025-09-04 00:00:00,Bronze,Rock
34,João Fernandes,Portugal,Lisbon,39.620000000000005,7,2021-05-05 00:00:00,2024-10-01 00:00:00,Silver,Rock
35,Madalena Sampaio,Portugal,Porto,37.620000000000005,7,2022-07-13 00:00:00,2025-12-09 00:00:00,Bronze,Rock
36,Hannah Schneider,Germany,Berlin,37.620000000000005,7,2021-05-05 00:00:00,2024-11-14 00:00:00,Bronze,Metal
37,Fynn Zimmermann,Germany,Frankfurt,43.62,7,2021-01-19 00:00:00,2025-06-03 00:00:00,Silver,Rock
38,Niklas Schröder,Germany,Berlin,37.620000000000005,7,2021-02-01 00:00:00,2024-06-30 00:00:00,Bronze,Rock
39,Camille Bernard,France,Paris,38.620000000000005,7,2022-04-11 00:00:00,2025-09-07 00:00:00,Bronze,Rock
40,Dominique Lefebvre,France,Paris,38.620000000000005,7,2021-02-01 00:00:00,2024-08-13 00:00:00,Bronze,Rock
41,Marc Dubois,France,Lyon,37.620000000000005,7,2022-04-11 00:00:00,2025-10-21 00:00:00,Bronze,Rock
42,Wyatt Girard,France,Bordeaux,39.62,7,2021-02-02 00:00:00,2025-11-03 00:00:00,Silver,Metal
43,Isabelle Mercier,France,Dijon,40.620000000000005,7,2022-01-08 00:00:00,2025-06-06 00:00:00,Silver,Rock
44,Terhi Hämäläinen,Finland,Helsinki,41.620000000000005,7,2021-08-11 00:00:00,2025-12-14 00:00:00,Silver,Rock
45,Ladislav Kovács,Hungary,Budapest,45.62,7,2022-01-08 00:00:00,2025-07-20 00:00:00,Silver,Rock
46,Hugh O'Reilly,Ireland,Dublin,45.62,7,2021-02-03 00:00:00,2025-11-04 00:00:00,Silver,Rock
47,Lucas Mancini,Italy,Rome,37.620000000000005,7,2021-10-07 00:00:00,2025-03-05 00:00:00,Bronze,Rock
48,Johannes Van der Berg,Netherlands,Amsterdam,40.62,7,2021-05-10 00:00:00,2025-09-12 00:00:00,Silver,Rock
49,Stanisław Wójcik,Poland,Warsaw,37.620000000000005,7,2021-10-07 00:00:00,2025-04-18 00:00:00,Bronze,Rock
50,Enrique Muñoz,Spain,Madrid,37.62,7,2021-06-23 00:00:00,2025-11-05 00:00:00,Bronze,Rock
51,Joakim Johansson,Sweden,Stockholm,38.620000000000005,7,2021-07-06 00:00:00,2024-12-02 00:00:00,Bronze,Latin
52,Emma Jones,United Kingdom,London,37.620000000000005,7,2021-02-06 00:00:00,2025-06-11 00:00:00,Bronze,Latin
53,Phil Hughes,United Kingdom,London,37.620000000000005,7,2021-07-06 00:00:00,2025-01-15 00:00:00,Bronze,Rock
54,Steve Murray,United Kingdom,Edinburgh ,37.62,7,2021-03-22 00:00:00,2025-08-04 00:00:00,Bronze,Rock
55,Mark Taylor,Australia,Sidney,37.620000000000005,7,2021-04-04 00:00:00,2024-08-31 00:00:00,Bronze,Rock
56,Diego Gutiérrez,Argentina,Buenos Aires,37.620000000000005,7,2022-06-12 00:00:00,2025-11-08 00:00:00,Bronze,Rock
57,Luis Rojas,Chile,Santiago,46.62,7,2021-04-04 00:00:00,2024-10-14 00:00:00,Silver,Rock
58,Manoj Pareek,India,Delhi,38.620000000000005,7,2022-06-12 00:00:00,2025-12-22 00:00:00,Bronze,Rock
59,Puja Srivastava,India,Bangalore,36.64,6,2021-04-05 00:00:00,2024-05-30 00:00:00,Bronze,Rock
60,Oliver Thomas,United Kingdom,Edinburgh,119.58000000000001,16,2023-11-16 00:00:00,2025-04-14 00:00:00,Platinum,Jazz
61,Leonardo Romano,Italy,Verona,69.41999999999999,11,2023-03-08 00:00:00,2024-01-14 00:00:00,Gold,Metal
62,Sarah Flores,USA,Las Vegas,72.38,10,2022-10-09 00:00:00,2023-09-16 00:00:00,Gold,Rock
63,Felipe Lima,Brazil,Belém,72.86,10,2024-06-08 00:00:00,2025-03-13 00:00:00,Gold,Pop
64,Robert Hill,USA,Austin,205.10999999999999,30,2022-07-22 00:00:00,2025-05-28 00:00:00,Platinum,Metal
65,Maja Jonsson,Sweden,Uppsala,61.230000000000004,4,2025-10-28 00:00:00,2025-12-16 00:00:00,Silver,TV Shows
66,Amit Bose,India,Pune,50.92000000000001,9,2021-10-25 00:00:00,2022-05-28 00:00:00,Silver,Metal
67,Kamil Krawczyk,Poland,Katowice,197.21,17,2021-06-02 00:00:00,2022-12-18 00:00:00,Platinum,TV Shows
68,Sunita Patel,India,Patna,,0,,,Bronze,
69,Liam Dubois,France,Lyon,11.61,2,2024-02-26 00:00:00,2024-05-12 00:00:00,Bronze,Rock
70,Thomas Torres,USA,Nashville,30.53,5,2022-02-09 00:00:00,2022-08-12 00:00:00,Bronze,Alternative
71,Maria Souza,Brazil,Salvador,153.54000000000002,15,2019-12-25 00:00:00,2022-01-08 00:00:00,Platinum,Drama
72,Amanda Martin,USA,San Antonio,9.030000000000001,2,2024-09-20 00:00:00,2024-12-13 00:00:00,Bronze,Alternative & Punk
73,Emily Johnson,USA,Los Angeles,32.779999999999994,4,2025-08-26 00:00:00,2025-12-07 00:00:00,Bronze,Rock
74,David White,USA,Memphis,49.050000000000004,8,2022-03-25 00:00:00,2022-12-01 00:00:00,Silver,Classical
75,Linda Thompson,USA,Dallas,,0,,,Bronze,
76,Abigail Martin,Canada,Edmonton,42.56999999999999,8,2020-09-13 00:00:00,2021-05-05 00:00:00,Silver,Rock
77,Tomás Díaz,Argentina,Salta,49.14,10,2021-02-07 00:00:00,2022-01-19 00:00:00,Silver,Rock
78,Maria Ribeiro,Portugal,Funchal,90.85999999999999,12,2024-05-24 00:00:00,2025-11-03 00:00:00,Gold,Rock
79,Tomás Contreras,Chile,Talca,41.720000000000006,5,2025-07-02 00:00:00,2025-09-16 00:00:00,Silver,Metal
80,Oliver Koskinen,Finland,Tampere,50.66,6,2025-04-22 00:00:00,2025-12-03 00:00:00,Silver,Alternative & Punk
81,Andrew Smith,USA,Seattle,34.83,5,2024-07-04 00:00:00,2024-10-09 00:00:00,Bronze,Blues
82,Benjamin Fernandes,Brazil,Brasília,16.06,4,2022-12-05 00:00:00,2023-02-19 00:00:00,Bronze,Rock
83,Adam Roux,France,Grenoble,81.16,14,2021-10-28 00:00:00,2023-04-24 00:00:00,Gold,Latin
84,Rafael Vieira,Brazil,Salvador,132.3,19,2022-10-27 00:00:00,2024-06-02 00:00:00,Platinum,Jazz
85,Filipa Carvalho,Portugal,Coimbra,84.64,10,2024-12-27 00:00:00,2025-12-08 00:00:00,Gold,Metal
86,Noah Taylor,Canada,Vancouver,63.75000000000001,11,2022-05-28 00:00:00,2023-08-14 00:00:00,Silver,Rock
87,Eino Turunen,Finland,Jyväskylä,,0,,,Bronze,
88,Jana Procházka,Czech Republic,České Budějovice,35.63999999999999,9,2019-08-28 00:00:00,2020-05-09 00:00:00,Bronze,Bossa Nova
89,Ava Martin,Australia,Townsville,120.81000000000002,23,2019-02-18 00:00:00,2021-04-14 00:00:00,Platinum,Rock
90,Alfie Brown,United Kingdom,Brighton,59.21,8,2025-03-18 00:00:00,2025-12-25 00:00:00,Silver,TV Shows
91,Jana Kratochvíl,Czech Republic,Plzeň,62.059999999999995,9,2022-09-23 00:00:00,2023-05-26 00:00:00,Silver,Rock
92,Andre Carvalho,Brazil,Campinas,55.33,7,2024-11-14 00:00:00,2025-08-27 00:00:00,Silver,Jazz
93,Olivia Wilson,United Kingdom,Leeds,113.38000000000001,18,2022-12-01 00:00:00,2024-09-28 00:00:00,Platinum,Rock
94,Elias Schneider,Germany,Leipzig,128.27999999999997,22,2020-05-12 00:00:00,2022-06-10 00:00:00,Platinum,Rock
95,Isabella Watson,United Kingdom,Leicester,141.10000000000002,18,2024-01-26 00:00:00,2025-07-21 00:00:00,Platinum,Rock
96,Borbála Fekete,Hungary,Győr,29.67,6,2024-01-27 00:00:00,2024-06-28 00:00:00,Bronze,Alternative & Punk
97,James Young,USA,San Jose,43.86,6,2024-03-13 00:00:00,2024-08-16 00:00:00,Silver,Latin
98,Elizabeth Brown,USA,Denver,72.32,8,2023-03-21 00:00:00,2023-10-18 00:00:00,Gold,Latin
99,Freddie Williams,United Kingdom,Bradford,94.08000000000001,8,2024-10-02 00:00:00,2025-05-17 00:00:00,Gold,TV Shows
100,Alexander Evans,United Kingdom,Belfast,23.839999999999996,3,2025-08-28 00:00:00,2025-11-01 00:00:00,Bronze,Latin
101,Inès David,France,Lyon,,0,,,Bronze,
102,Pierre David,France,Bordeaux,100.36000000000003,15,2022-09-27 00:00:00,2024-05-05 00:00:00,Gold,Latin
103,Emma Moreau,France,Rennes,56.42,7,2023-02-27 00:00:00,2023-09-12 00:00:00,Silver,TV Shows
104,Ciara Walsh,Ireland,Dublin,5.96,1,2025-12-13 00:00:00,2025-12-13 00:00:00,Bronze,Metal
105,Felix Richter,Germany,Bochum,52.15,5,2025-06-19 00:00:00,2025-11-15 00:00:00,Silver,Bossa Nova
106,Diego García,Spain,Zaragoza,147.89,13,2023-12-10 00:00:00,2025-07-15 00:00:00,Platinum,TV Shows
107,Daniel Ramos,Mexico,León,88.42,10,2025-01-16 00:00:00,2025-11-26 00:00:00,Gold,Metal
108,Cynthia Anderson,USA,Houston,79.10000000000001,10,2022-06-16 00:00:00,2023-04-15 00:00:00,Gold,Latin
109,Antonia López,Chile,Temuco,88.39,11,2024-09-04 00:00:00,2025-12-10 00:00:00,Gold,Latin
110,Nicolas Simon,France,Paris,40.59,6,2020-03-25 00:00:00,2020-11-25 00:00:00,Silver,Rock
111,Avery Clarke,Canada,Edmonton,58.49000000000001,8,2024-10-12 00:00:00,2025-06-23 00:00:00,Silver,Rock
112,Nicolás Silva,Chile,Rancagua,186.79999999999995,21,2020-01-02 00:00:00,2022-01-05 00:00:00,Platinum,Drama
113,Tim Visser,Netherlands,Nijmegen,69.29999999999998,15,2019-07-28 00:00:00,2020-10-24 00:00:00,Gold,Rock
114,Charlotte Wilson,Canada,Winnipeg,95.82999999999998,13,2024-08-02 00:00:00,2025-11-25 00:00:00,Gold,Latin
115,Donald Smith,USA,Dallas,135.07999999999998,22,2019-11-06 00:00:00,2022-03-15 00:00:00,Platinum,Alternative & Punk
116,Kevin Nelson,USA,Louisville,66.55,7,2020-09-18 00:00:00,2021-05-11 00:00:00,Gold,Sci Fi & Fantasy
117,Sara Weber,Germany,Nuremberg,69.66000000000001,9,2024-02-28 00:00:00,2024-11-25 00:00:00,Gold,Rock
118,Alice Lima,Brazil,Salvador,77.22999999999999,14,2019-12-02 00:00:00,2021-04-12 00:00:00,Gold,Rock
119,Emma García,Spain,Zaragoza,85.16,14,2022-05-04 00:00:00,2023-12-06 00:00:00,Gold,Metal
120,Thomas Lefebvre,France,Dijon,28.31,4,2025-09-15 00:00:00,2025-12-28 00:00:00,Bronze,Rock
121,Noah Maes,Belgium,Bruges,59.02999999999999,9,2023-12-11 00:00:00,2024-10-25 00:00:00,Silver,Rock
122,Filipa Rodrigues,Portugal,Funchal,63.52,11,2022-04-05 00:00:00,2023-01-26 00:00:00,Silver,Jazz
123,Oliver Bos,Netherlands,Rotterdam,80.21000000000001,15,2019-06-28 00:00:00,2020-06-14 00:00:00,Gold,Rock
124,Paul Wolf,Germany,Leipzig,100.46,14,2024-01-20 00:00:00,2025-09-23 00:00:00,Gold,Alternative & Punk
125,Luuk De Jong,Netherlands,The Hague,82.0,11,2024-05-02 00:00:00,2025-05-18 00:00:00,Gold,Blues
126,Rodrigo Costa,Brazil,Guarulhos,21.42,2,2023-08-21 00:00:00,2023-12-28 00:00:00,Bronze,Rock
127,Cynthia Martin,USA,Seattle,85.30999999999999,12,2024-06-08 00:00:00,2025-11-24 00:00:00,Gold,Rock
128,Lucas Michel,France,Angers,77.43999999999998,12,2022-10-28 00:00:00,2023-10-27 00:00:00,Gold,Rock
129,Maria Ferreira,Brazil,Guarulhos,217.62,29,2022-07-08 00:00:00,2025-11-24 00:00:00,Platinum,Rock
130,Joseph Thompson,USA,Seattle,58.43,10,2019-12-13 00:00:00,2020-12-17 00:00:00,Silver,Latin
131,Lenka Šimánek,Czech Republic,Olomouc,64.14999999999999,9,2022-11-04 00:00:00,2023-07-28 00:00:00,Silver,Reggae
132,Filip Nowakowski,Poland,Katowice,169.12999999999994,21,2022-11-16 00:00:00,2025-09-28 00:00:00,Platinum,Rock
133,Elizabeth Scott,USA,Charlotte,106.94000000000001,19,2019-11-28 00:00:00,2021-09-09 00:00:00,Platinum,Rock
134,Hannah Hoffmann,Germany,Dortmund,55.93,7,2024-08-22 00:00:00,2025-11-09 00:00:00,Silver,Rock
135,Leonardo Costa,Brazil,Campinas,37.76,3,2025-10-24 00:00:00,2025-12-10 00:00:00,Bronze,Rock
136,Nicolás Araya,Chile,Arica,61.92,6,2024-02-26 00:00:00,2024-07-28 00:00:00,Silver,Rock
137,Ágnes Farkas,Hungary,Székesfehérvár,45.31,8,2022-06-17 00:00:00,2023-06-03 00:00:00,Silver,Metal
138,Tobias Eder,Austria,Linz,17.830000000000002,3,2020-06-06 00:00:00,2020-07-28 00:00:00,Bronze,Alternative & Punk
139,Barbara Flores,USA,Charlotte,79.42000000000002,12,2022-04-08 00:00:00,2023-09-10 00:00:00,Gold,Alternative & Punk
140,Sarah Nelson,USA,Indianapolis,19.369999999999997,2,2025-11-28 00:00:00,2025-12-20 00:00:00,Bronze,Rock
141,Olivia Brown,Canada,Vancouver,190.29,26,2023-05-25 00:00:00,2025-12-12 00:00:00,Platinum,Rock
142,Melissa Moore,USA,Seattle,48.61,7,2023-01-11 00:00:00,2023-08-20 00:00:00,Silver,Latin
143,Daniel Moore,USA,Austin,43.07000000000001,9,2021-03-19 00:00:00,2022-01-28 00:00:00,Silver,R&B/Soul
144,Emilie Eriksen,Norway,Tromsø,24.84,3,2025-10-25 00:00:00,2025-12-18 00:00:00,Bronze,Rock
145,Inès Lefebvre,France,Dijon,30.93,4,2022-09-19 00:00:00,2023-02-22 00:00:00,Bronze,Rock
146,Ava Thomas,United Kingdom,Birmingham,35.13,3,2024-07-28 00:00:00,2024-10-09 00:00:00,Bronze,Sci Fi & Fantasy
147,Joshua Thomas,USA,Jacksonville,68.31,13,2019-05-01 00:00:00,2021-02-09 00:00:00,Gold,Rock
148,Susan Scott,USA,Charlotte,,0,,,Bronze,
149,Heitor Fernandes,Brazil,Recife,102.96999999999997,19,2019-11-02 00:00:00,2021-07-26 00:00:00,Platinum,Jazz
150,David Williams,USA,San Jose,143.45,17,2023-01-16 00:00:00,2024-07-15 00:00:00,Platinum,Rock
151,Charlie Brown,United Kingdom,Belfast,120.00999999999999,14,2024-05-28 00:00:00,2025-07-22 00:00:00,Platinum,Rock
152,Harper Tremblay,Canada,Gatineau,39.99000000000001,7,2024-01-23 00:00:00,2024-08-28 00:00:00,Silver,Alternative & Punk
153,Roisín O'Neill,Ireland,Waterford,96.85000000000001,14,2022-04-23 00:00:00,2023-11-05 00:00:00,Gold,Latin
154,Máté Papp,Hungary,Szombathely,160.60999999999999,14,2022-04-05 00:00:00,2023-10-17 00:00:00,Platinum,TV Shows
155,Aiden Wilson,Canada,Vaughan,,0,,,Bronze,
156,Camila Pérez,Chile,Antofagasta,227.10000000000005,34,2019-11-10 00:00:00,2024-10-04 00:00:00,Platinum,Metal
157,Richard Jackson,USA,Jacksonville,130.44999999999996,16,2022-10-19 00:00:00,2024-02-27 00:00:00,Platinum,Rock
158,Amy Anderson,USA,Philadelphia,40.28,6,2023-02-21 00:00:00,2023-06-21 00:00:00,Silver,Blues
159,Alexander Smith,United Kingdom,Brighton,21.86,2,2025-05-08 00:00:00,2025-06-11 00:00:00,Bronze,Rock
160,Stephanie Nguyen,USA,Portland,126.44999999999999,22,2022-06-10 00:00:00,2024-11-05 00:00:00,Platinum,Metal
161,Hugo Carvalho,Portugal,Almada,174.30999999999997,16,2022-07-13 00:00:00,2024-03-05 00:00:00,Platinum,TV Shows
162,Olivia Clarke,Canada,Saskatoon,58.26,10,2021-12-21 00:00:00,2022-11-26 00:00:00,Silver,Rock
163,Henry White,Australia,Sydney,48.52,7,2019-11-28 00:00:00,2020-08-05 00:00:00,Silver,Rock
164,Maja Hagen,Norway,Stavanger,43.21,5,2025-05-08 00:00:00,2025-11-10 00:00:00,Silver,Pop
165,Mariana Gómez,Colombia,Cali,62.6,6,2025-03-28 00:00:00,2025-12-13 00:00:00,Silver,Jazz
166,Sofia Romano,Italy,Verona,74.04,12,2023-12-12 00:00:00,2024-12-04 00:00:00,Gold,Reggae
167,Richard Garcia,USA,Phoenix,99.34,14,2023-11-28 00:00:00,2025-03-08 00:00:00,Gold,Rock
168,Joseph Harris,USA,San Jose,103.36,18,2021-06-17 00:00:00,2023-04-28 00:00:00,Platinum,Jazz
169,Gustavo Fernandes,Brazil,São Luís,64.07,6,2025-04-18 00:00:00,2025-12-11 00:00:00,Silver,World
170,Ben Schäfer,Germany,Wuppertal,38.17,5,2022-11-24 00:00:00,2023-05-06 00:00:00,Bronze,Blues
171,Kiara Joshi,India,Mumbai,76.99000000000001,10,2025-03-15 00:00:00,2025-12-08 00:00:00,Gold,Jazz
172,Eduardo Rodrigues,Brazil,Guarulhos,62.39,10,2020-07-16 00:00:00,2021-05-17 00:00:00,Silver,Rock
173,Ishaan Sharma,India,Mumbai,154.32000000000002,19,2024-03-16 00:00:00,2025-09-06 00:00:00,Platinum,Rock
174,Noah Martin,Canada,Montreal,112.37999999999998,16,2023-12-08 00:00:00,2025-07-22 00:00:00,Platinum,Blues
175,Jack Roy,Canada,Gatineau,78.14,11,2022-10-28 00:00:00,2023-11-03 00:00:00,Gold,Rock
176,Ava Fortin,Canada,Vaughan,17.88,2,2025-09-07 00:00:00,2025-10-10 00:00:00,Bronze,Rock
177,Rita Santos,Portugal,Porto,16.83,3,2021-05-01 00:00:00,2021-08-17 00:00:00,Bronze,Rock
178,Maëlys Goossens,Belgium,Namur,73.88,14,2020-10-01 00:00:00,2022-04-07 00:00:00,Gold,Rock
179,Manuela Santos,Brazil,Porto Alegre,34.84,4,2024-09-25 00:00:00,2025-01-27 00:00:00,Bronze,TV Shows
180,Sebastian Lavoie,Canada,Vaughan,42.24,6,2022-12-04 00:00:00,2023-05-26 00:00:00,Silver,Rock
181,Leo Morel,France,Grenoble,84.17,13,2020-01-08 00:00:00,2021-03-21 00:00:00,Gold,Latin
182,Richard Thompson,USA,Phoenix,103.05,12,2024-01-18 00:00:00,2025-05-14 00:00:00,Platinum,Soundtrack
183,Santiago Rojas,Chile,Rancagua,69.3,5,2024-11-02 00:00:00,2025-05-12 00:00:00,Gold,Drama
184,Jack Clarke,Canada,Vaughan,13.41,2,2025-09-07 00:00:00,2025-10-03 00:00:00,Bronze,Blues
185,Aiden Roy,Canada,Calgary,189.49999999999997,23,2023-02-16 00:00:00,2025-09-24 00:00:00,Platinum,Rock
186,Isabella Tremblay,Canada,Calgary,109.10000000000002,17,2022-12-13 00:00:00,2024-03-28 00:00:00,Platinum,Rock
187,Laura Williams,USA,Portland,111.03999999999999,17,2023-04-11 00:00:00,2025-01-18 00:00:00,Platinum,Rock
188,Amelia Roy,Canada,Calgary,103.67000000000002,17,2021-10-15 00:00:00,2023-04-22 00:00:00,Platinum,Alternative & Punk
